pair,skipped,skip_reason,n_full,n_margin,effect_full,effect_margin,pair_shift,sign_flip,above_floor,verdict,verdict_short
Claude Opus 4 — Thinking lift,False,,1055,208,0.08056872037914692,0.1875,0.10693127962085308,False,False,SUBORDINATE-TO-SHIFT,below m_b
Claude Sonnet 4 — Thinking lift,False,,1055,208,0.0909952606635071,0.28365384615384615,0.19265858549033904,False,False,SUBORDINATE-TO-SHIFT,below m_b
Gemini Flash 2.0 — Thinking vs Exp,False,,880,175,0.05568181818181818,0.08,0.024318181818181822,False,False,SUBORDINATE-TO-SHIFT,below m_b
Gemini Flash 2.0 — Thinking-01-21 vs Exp,False,,1055,208,0.13933649289099526,0.2692307692307692,0.12989427633977396,False,False,SUBORDINATE-TO-SHIFT,below m_b
Gemini Flash 2.0 — Thinking-12-19 vs Exp,False,,1055,208,0.14691943127962084,0.2980769230769231,0.15115749179730223,False,False,SUBORDINATE-TO-SHIFT,below m_b
O1 — High vs Low effort,False,,880,175,0.07272727272727272,0.13714285714285715,0.06441558441558443,False,False,SUBORDINATE-TO-SHIFT,below m_b
O1 — High vs Med effort,False,,880,175,0.048863636363636366,0.05714285714285714,0.008279220779220775,False,False,SUBORDINATE-TO-SHIFT,below m_b
O3-Mini — High vs Low effort,False,,1055,208,0.07109004739336493,0.08653846153846154,0.015448414145096609,False,False,SUBORDINATE-TO-SHIFT,below m_b
O3-Mini — High vs Med effort,False,,1055,208,0.023696682464454975,0.014423076923076924,0.00927360554137805,False,False,SUBORDINATE-TO-SHIFT,below m_b
O4-Mini — High vs Low effort,False,,1055,208,0.0985781990521327,0.07692307692307693,0.02165512212905578,False,False,SUBORDINATE-TO-SHIFT,below m_b
O4-Mini — High vs Medium effort,False,,1055,208,0.02843601895734597,-0.028846153846153848,0.057282172803499815,True,False,SUBORDINATE-TO-SHIFT,below m_b
DeepSeek R1-0528 vs V3 base,False,,1055,208,0.34881516587677724,0.6394230769230769,0.2906079110462996,False,True,ROBUST,robust
QwQ-32B-Preview vs Qwen2.5-Ins-32B,False,,713,142,0.16830294530154277,0.29577464788732394,0.12747170258578117,False,False,SUBORDINATE-TO-SHIFT,below m_b
