pair,skipped,skip_reason,n_full,n_margin,effect_full,effect_margin,pair_shift,sign_flip,above_floor,verdict,verdict_short
Claude Opus 4 — Thinking lift,False,,1055,396,0.08056872037914692,0.17676767676767677,0.09619895638852985,False,False,SUBORDINATE-TO-SHIFT,below m_b
Claude Sonnet 4 — Thinking lift,False,,1055,396,0.0909952606635071,0.2196969696969697,0.1287017090334626,False,False,SUBORDINATE-TO-SHIFT,below m_b
Gemini Flash 2.0 — Thinking vs Exp,False,,880,347,0.05568181818181818,0.11239193083573487,0.05671011265391669,False,False,SUBORDINATE-TO-SHIFT,below m_b
Gemini Flash 2.0 — Thinking-01-21 vs Exp,False,,1055,396,0.13933649289099526,0.2702020202020202,0.13086552731102497,False,False,SUBORDINATE-TO-SHIFT,below m_b
Gemini Flash 2.0 — Thinking-12-19 vs Exp,False,,1055,396,0.14691943127962084,0.2904040404040404,0.14348460912441954,False,False,SUBORDINATE-TO-SHIFT,below m_b
O1 — High vs Low effort,False,,880,347,0.07272727272727272,0.11527377521613832,0.0425465024888656,False,False,SUBORDINATE-TO-SHIFT,below m_b
O1 — High vs Med effort,False,,880,347,0.048863636363636366,0.05475504322766571,0.005891406864029343,False,False,SUBORDINATE-TO-SHIFT,below m_b
O3-Mini — High vs Low effort,False,,1055,396,0.07109004739336493,0.1111111111111111,0.04002106371774618,False,False,SUBORDINATE-TO-SHIFT,below m_b
O3-Mini — High vs Med effort,False,,1055,396,0.023696682464454975,0.010101010101010102,0.013595672363444873,False,False,SUBORDINATE-TO-SHIFT,below m_b
O4-Mini — High vs Low effort,False,,1055,396,0.0985781990521327,0.08333333333333333,0.015244865718799377,False,False,SUBORDINATE-TO-SHIFT,below m_b
O4-Mini — High vs Medium effort,False,,1055,396,0.02843601895734597,-0.005050505050505051,0.03348652400785102,True,False,SUBORDINATE-TO-SHIFT,below m_b
DeepSeek R1-0528 vs V3 base,False,,1055,396,0.34881516587677724,0.5808080808080808,0.23199291493130353,False,True,ROBUST,robust
QwQ-32B-Preview vs Qwen2.5-Ins-32B,False,,713,291,0.16830294530154277,0.30927835051546393,0.14097540521392116,False,True,ROBUST,robust
