benchmark,domain,source_url,n_agents_estimated,n_tasks,data_shape,prep_complexity,notable_quirks
ARC-Challenge,multi-discipline-mc,https://huggingface.co/datasets/open-llm-leaderboard-old,5000+,1172,HF dataset details_<model> repos (lm-eval-harness JSON; harness_arc_challenge_25 config),LOW,One prep pattern fans out to 5K+ models; many duplicate/finetune submissions need dedup; 25-shot few-shot prompts baked in
HellaSwag,multi-discipline-mc,https://huggingface.co/datasets/open-llm-leaderboard-old,5000+,10042,HF dataset details_<model> repos (harness_hellaswag_10),LOW,Same v1 archive prep as ARC; very large per-model file
MMLU,multi-discipline-mc,https://huggingface.co/datasets/open-llm-leaderboard-old,5000+,14042,HF dataset details_<model> repos (harness_hendrycksTest_*),LOW,57 sub-tasks per model; need to concatenate across subject configs
TruthfulQA,multi-discipline-mc,https://huggingface.co/datasets/open-llm-leaderboard-old,5000+,817,HF dataset details_<model> repos (harness_truthfulqa_mc_0),LOW,MC version is binarizable; generative version requires GPT judge
Winogrande,multi-discipline-mc,https://huggingface.co/datasets/open-llm-leaderboard-old,5000+,1267,HF dataset details_<model> repos (harness_winogrande_5),LOW,Likely saturated at top; useful for low-end discrimination
GSM8K,math,https://huggingface.co/datasets/open-llm-leaderboard-old,5000+,1319,HF dataset details_<model> repos (harness_gsm8k_5),LOW,Per-instance pass/fail derivable from logged answer match; some contamination concerns
BBH,multi-discipline-mc,https://huggingface.co/datasets/open-llm-leaderboard,2000+,6511,HF dataset details_<model> repos (leaderboard_bbh_* configs),LOW,V2 archive; BIG-Bench-Hard subset across 23 sub-tasks
GPQA,multi-discipline-mc,https://huggingface.co/datasets/open-llm-leaderboard,2000+,448,HF dataset details_<model> repos (leaderboard_gpqa_* main/extended/diamond),LOW,Diamond subset has only 198 items; may hit sample-size cliff for capability-margin filtering
MUSR,multi-discipline-mc,https://huggingface.co/datasets/open-llm-leaderboard,2000+,756,HF dataset details_<model> repos (leaderboard_musr_*),LOW,Multi-step soft reasoning; three sub-tasks
MMLU-Pro,multi-discipline-mc,https://huggingface.co/datasets/open-llm-leaderboard,2000+,12032,HF dataset details_<model> repos (leaderboard_mmlu_pro),LOW,10-way MC (vs MMLU's 4-way); already in Plimsoll project
IFEval,other,https://huggingface.co/datasets/open-llm-leaderboard,2000+,541,HF dataset details_<model> repos (leaderboard_ifeval),LOW,Verifiable-instruction-following; prompt-level + instruction-level pass/fail both available
MATH Lvl 5,math,https://huggingface.co/datasets/open-llm-leaderboard,2000+,1324,HF dataset details_<model> repos (leaderboard_math_hard_*),LOW,Hardest subset of MATH; pass/fail from answer-extraction match
HumanEval+,code,https://github.com/evalplus/evalplus/releases,100+,164,Per-model JSONL release artifacts (zip per model_temp; jsonl with task_id+pass),LOW,Pre-generated samples in v0.1.0 release; need to run sanitize+evaluate to derive pass/fail; ~100+ models with public artifacts
MBPP+,code,https://github.com/evalplus/evalplus/releases,100+,378,Per-model JSONL release artifacts,LOW,V0.2.0 pruned 399 to 378 tasks; same prep as HumanEval+
