pair,n_full,n_margin,effect_full,effect_margin,abs_effect_full,pair_shift,sign_flip,Q,Q_m_b,above_floor,verdict,verdict_short
Claude Opus 4 — Thinking lift,1055,396,0.0805687203791469,0.1767676767676767,0.0805687203791469,0.0961989563885298,False,Q1,0.0287365732250458,True,PAIR-UNSTABLE,pair-unstable
Claude Sonnet 4 — Thinking lift,1055,396,0.0909952606635071,0.2196969696969697,0.0909952606635071,0.1287017090334626,False,Q2,0.1148624224635271,False,SUBORDINATE-TO-SHIFT,below Q m_b
Gemini Flash 2.0 — Thinking vs Exp,880,347,0.0556818181818181,0.1123919308357348,0.0556818181818181,0.0567101126539166,False,Q1,0.0287365732250458,True,PAIR-UNSTABLE,pair-unstable
Gemini Flash 2.0 — Thinking-01-21 vs Exp,1055,396,0.1393364928909952,0.2702020202020202,0.1393364928909952,0.1308655273110249,False,Q2,0.1148624224635271,True,ROBUST,robust
Gemini Flash 2.0 — Thinking-12-19 vs Exp,1055,396,0.1469194312796208,0.2904040404040404,0.1469194312796208,0.1434846091244195,False,Q2,0.1148624224635271,True,ROBUST,robust
O1 — High vs Low effort,880,347,0.0727272727272727,0.1152737752161383,0.0727272727272727,0.0425465024888656,False,Q1,0.0287365732250458,True,ROBUST,robust
O1 — High vs Med effort,880,347,0.0488636363636363,0.0547550432276657,0.0488636363636363,0.0058914068640293,False,Q1,0.0287365732250458,True,ROBUST,robust
O3-Mini — High vs Low effort,1055,396,0.0710900473933649,0.1111111111111111,0.0710900473933649,0.0400210637177461,False,Q1,0.0287365732250458,True,ROBUST,robust
O3-Mini — High vs Med effort,1055,396,0.0236966824644549,0.0101010101010101,0.0236966824644549,0.0135956723634448,False,Q1,0.0287365732250458,False,SUBORDINATE-TO-SHIFT,below Q m_b
O4-Mini — High vs Low effort,1055,396,0.0985781990521327,0.0833333333333333,0.0985781990521327,0.0152448657187993,False,Q2,0.1148624224635271,False,SUBORDINATE-TO-SHIFT,below Q m_b
O4-Mini — High vs Medium effort,1055,396,0.0284360189573459,-0.005050505050505,0.0284360189573459,0.033486524007851,True,Q1,0.0287365732250458,False,SUBORDINATE-TO-SHIFT,below Q m_b
DeepSeek R1-0528 vs V3 base,1055,396,0.3488151658767772,0.5808080808080808,0.3488151658767772,0.2319929149313035,False,Q3,0.25040935289494365,True,ROBUST,robust
QwQ-32B-Preview vs Qwen2.5-Ins-32B,713,291,0.1683029453015427,0.3092783505154639,0.1683029453015427,0.1409754052139211,False,Q2,0.1148624224635271,True,ROBUST,robust
